ID,Name,Description,Size,Era,BasePrice,BaseProductivity,PriceScale,ProductivityScale,RequiredDayNumber
1,Pebble,A tiny smooth stone,Tiny,Ancient,10,1,1.12,1.08,0
2,Sand Pile,A small mound of sand,Tiny,Ancient,15,1.5,1.12,1.08,0
3,Moss Patch,Green moss covering a small area,Tiny,Ancient,22,2,1.12,1.08,0
4,Mushroom,A simple fungus growing from the ground,Tiny,Ancient,33,3,1.12,1.08,0
5,Small Rock,A basic rock formation,Small,Ancient,50,4.5,1.12,1.08,0
6,Crystal Shard,A tiny glowing crystal,Tiny,Ancient,75,7,1.12,1.08,0
7,Puddle,A small pool of water,Tiny,Ancient,110,10,1.12,1.08,0
8,Sprout,A tiny plant beginning to grow,Tiny,Ancient,165,15,1.12,1.08,0
9,Lichen,Hardy organism clinging to rocks,Tiny,Ancient,250,22,1.12,1.08,0
10,Fern,An ancient plant with delicate leaves,Small,Prehistoric,375,33,1.12,1.08,0
11,Boulder,A large ancient stone,Medium,Ancient,560,50,1.12,1.08,0
12,Coral,Beautiful underwater structure,Small,Ancient,840,75,1.12,1.08,0
13,Seaweed,Aquatic plant swaying in currents,Small,Ancient,1260,110,1.12,1.08,1
14,Starfish,A five-armed sea creature,Small,Ancient,1890,165,1.12,1.08,1
15,Cactus,A spiky desert survivor,Small,Ancient,2840,250,1.12,1.08,1
16,Vine,A climbing plant reaching upward,Tiny,Ancient,4260,375,1.12,1.08,1
17,Bamboo,Fast-growing stalks,Small,Prehistoric,6390,560,1.12,1.08,1
18,Butterfly,A colorful flying insect,Small,Ancient,9580,840,1.12,1.08,1
19,Flower Bush,Colorful blooming flowers,Small,Prehistoric,14370,1260,1.12,1.08,1
20,Berry Bush,A bush bearing sweet fruit,Small,Prehistoric,21560,1890,1.12,1.08,1
21,Herb Garden,Fragrant medicinal plants,Small,Prehistoric,32340,2840,1.12,1.08,1
22,Willow Tree,A graceful weeping tree,Medium,Prehistoric,48500,4260,1.12,1.08,1
23,Oak Tree,A mighty tree of strength,Medium,Prehistoric,72750,6390,1.12,1.08,1
24,Rabbit,A fluffy hopping mammal,Small,Prehistoric,109130,9580,1.12,1.08,1
25,Maple Tree,A tree with brilliant red leaves,Medium,Prehistoric,163700,14370,1.12,1.08,1
26,Bonsai Tree,A miniature artistic tree,Small,Prehistoric,245550,21560,1.12,1.08,2
27,Grass Patch,A patch of green grass,Small,Prehistoric,368330,32340,1.12,1.08,2
28,Lotus Flower,A sacred water blossom,Small,Prehistoric,552490,48500,1.12,1.08,2
29,Pine Tree,An evergreen conifer,Medium,Prehistoric,828740,72750,1.12,1.08,2
30,Bird Nest,A cozy home for birds,Small,Prehistoric,1243110,109130,1.12,1.08,2
31,Cherry Blossom,Beautiful pink flowering tree,Medium,Prehistoric,1864660,163700,1.12,1.08,2
32,Ancient Tree,A massive old-growth tree,Large,Prehistoric,2797000,245550,1.12,1.08,2
33,Enchanted Rose,A magical glowing flower,Small,Prehistoric,4195500,368330,1.12,1.08,2
34,Phoenix Feather,A single feather from a mythical bird,Tiny,Prehistoric,6293250,552490,1.12,1.08,2
35,Unicorn,A majestic horned creature,Medium,Prehistoric,9439880,828740,1.12,1.08,2
36,Fairy Ring,A circle of mystical mushrooms,Small,Prehistoric,14159820,1243110,1.12,1.08,2
37,Dragon Egg,An unhatched legendary beast,Medium,Prehistoric,21239730,1864660,1.12,1.08,2
38,Griffin,A noble creature of eagle and lion,Large,Prehistoric,31859590,2797000,1.12,1.08,3
39,Treant,An ancient walking tree,Large,Prehistoric,47789390,4195500,1.12,1.08,3
40,Mandrake,A magical root that screams,Small,Prehistoric,71684080,6293250,1.12,1.08,3
41,Phoenix,A bird reborn from flames,Large,Prehistoric,107526120,9439880,1.12,1.08,3
42,Yggdrasil Sapling,A seedling of the world tree,Medium,Prehistoric,161289180,14159820,1.12,1.08,3
43,Baby Dragon,A young fire-breathing dragon,Large,Prehistoric,241933770,21239730,1.12,1.08,3
44,Crystal Golem,A living construct of gemstone,Huge,Prehistoric,362900650,31859590,1.12,1.08,3
45,Pegasus,A winged horse of legend,Large,Prehistoric,544350980,47789390,1.12,1.08,3
46,Hydra,A multi-headed serpent,Huge,Prehistoric,816526470,71684080,1.12,1.08,3
47,Ancient Dragon,A wise and powerful wyrm,Colossal,Prehistoric,1224789700,107526120,1.12,1.08,3
48,World Tree,A cosmic tree connecting realms,Colossal,Prehistoric,1837184550,161289180,1.12,1.08,3
49,Stone Circle,An ancient ceremonial site,Medium,Ancient,2755776830,241933770,1.12,1.08,3
50,Monolith,A mysterious standing stone,Large,Ancient,4133665240,362900650,1.12,1.08,3
51,Stone Hut,A primitive shelter,Small,Medieval,6200497860,544350980,1.12,1.08,4
52,Campfire,A warming flame,Small,Medieval,9300746790,816526470,1.12,1.08,4
53,Water Well,A source of fresh water,Medium,Medieval,13951120190,1224789700,1.12,1.08,4
54,Wheat Field,Golden grain ready for harvest,Medium,Medieval,20926680280,1837184550,1.12,1.08,4
55,Windmill,A structure grinding grain,Large,Medieval,31390020420,2755776830,1.12,1.08,4
56,Horse Stable,Home for trusty steeds,Medium,Medieval,47085030630,4133665240,1.12,1.08,4
57,Blacksmith Forge,Where metal is shaped,Medium,Medieval,70627545950,6200497860,1.12,1.08,4
58,Wooden House,A simple dwelling,Medium,Medieval,105941318920,9300746790,1.12,1.08,4
59,Stone Wall,A defensive barrier,Large,Medieval,158911978380,13951120190,1.12,1.08,4
60,Market Stall,A place of trade,Medium,Medieval,238367967570,20926680280,1.12,1.08,4
61,Wizard Tower,A mystical spire of magic,Large,Medieval,357551951360,31390020420,1.12,1.08,4
62,Church,A place of worship,Large,Medieval,536327927040,47085030630,1.12,1.08,4
63,Enchanted Fountain,A magical water feature,Medium,Medieval,804491890560,70627545950,1.12,1.08,5
64,Castle Tower,A fortified structure,Large,Medieval,1206737835840,105941318920,1.12,1.08,5
65,Alchemy Lab,Where potions are brewed,Medium,Medieval,1810106753760,158911978380,1.12,1.08,5
66,Castle,A mighty fortress,Huge,Medieval,2715160130640,238367967570,1.12,1.08,5
67,Cathedral,A grand religious monument,Huge,Medieval,4072740195960,357551951360,1.12,1.08,5
68,Golem Workshop,Crafting magical servants,Large,Medieval,6109110293940,536327927040,1.12,1.08,5
69,Town Square,The heart of civilization,Large,Medieval,9163665440910,804491890560,1.12,1.08,5
70,Harbor,A bustling port,Large,Medieval,13745498161360,1206737835840,1.12,1.08,5
